file_name,repo_name,file_path,file_url,commit_sha,p_language,actual_status,process_status
pom.xml,mstepan/iron-clud-java,pom.xml,/mstepan/iron-clud-java/blob/de8db28b79f9ddaae361a86b53c873582d825f90/pom.xml,de8db28b79f9ddaae361a86b53c873582d825f90,Maven POM,1,0
pom.xml,antonionehme/audit-repository-simulations,AuditProject/AuditProject/client/pom.xml,/antonionehme/audit-repository-simulations/blob/86889bd231c9a324534ebf4d0d5c61979a068131/AuditProject/AuditProject/client/pom.xml,86889bd231c9a324534ebf4d0d5c61979a068131,Maven POM,1,0
pom.xml,Eternalash/R.S.o.T.Everything,pom.xml,/Eternalash/R.S.o.T.Everything/blob/4b73cd16d0645cc48a874832c6dd0c6702ecebbf/pom.xml,4b73cd16d0645cc48a874832c6dd0c6702ecebbf,Maven POM,1,0
pom.xml,bluesword12350/sword-laboratory,sword-laboratory/pom.xml,/bluesword12350/sword-laboratory/blob/f3c7b898c7ac5332ef86a9e4c12a711ca6de22df/sword-laboratory/pom.xml,f3c7b898c7ac5332ef86a9e4c12a711ca6de22df,Maven POM,1,0
pom.xml,insightiotest/go,maven/tink/pom.xml,/insightiotest/go/blob/5add0f822bca1a6bfab41b880b0ced812e7eeeaa/maven/tink/pom.xml,5add0f822bca1a6bfab41b880b0ced812e7eeeaa,Maven POM,0,0
pom.xml,wongminbin/exercise-demos,normals/pom.xml,/wongminbin/exercise-demos/blob/4f7d67e9579f532cd44e9b9ac35699071f303a00/normals/pom.xml,4f7d67e9579f532cd44e9b9ac35699071f303a00,Maven POM,1,0
pom.xml,xgyb12458/dm-platform,pom.xml,/xgyb12458/dm-platform/blob/0d28a5b1d3293387d82d15a4211a31372eb7910b/pom.xml,0d28a5b1d3293387d82d15a4211a31372eb7910b,Maven POM,1,0
pom.xml,codice/ddf,distribution/kernel/pom.xml,/codice/ddf/blob/5b5418c6ead0d3209c61449789a83d66723a6a72/distribution/kernel/pom.xml,5b5418c6ead0d3209c61449789a83d66723a6a72,Maven POM,0,0
pom.xml,hkj123/nimbus-jose-jwt,pom.xml,/hkj123/nimbus-jose-jwt/blob/3687a12e495e8f94f0c3b1388f68a99cbe6e0836/pom.xml,3687a12e495e8f94f0c3b1388f68a99cbe6e0836,Maven POM,1,0
pom.xml,weipinghe/nimbus-jose-jwt,pom.xml,/weipinghe/nimbus-jose-jwt/blob/02d37243a29506ff44be44bbeec9df26f476ba06/pom.xml,02d37243a29506ff44be44bbeec9df26f476ba06,Maven POM,0,0
pom.xml,CROSSINGTUD/CryptoAnalysis,CryptoAnalysis/pom.xml,/CROSSINGTUD/CryptoAnalysis/blob/cd20c21e9197491a68c8544fefe86064d90eb25e/CryptoAnalysis/pom.xml,cd20c21e9197491a68c8544fefe86064d90eb25e,Maven POM,1,0
build.gradle,TenPennyTV/website,backend/build.gradle,/TenPennyTV/website/blob/ac3218a0026a3a964519937c4255a70e1e820530/backend/build.gradle,ac3218a0026a3a964519937c4255a70e1e820530,Gradle,1,0
build.gradle,CommonWealthRobotics/bowler-script-kernel,build.gradle,/CommonWealthRobotics/bowler-script-kernel/blob/db718f0f02a6f97cef0b320d031b1956060202de/build.gradle,db718f0f02a6f97cef0b320d031b1956060202de,Gradle,1,0
pom.xml,insightiotest/go,maven/pom.xml,/insightiotest/go/blob/5add0f822bca1a6bfab41b880b0ced812e7eeeaa/maven/pom.xml,5add0f822bca1a6bfab41b880b0ced812e7eeeaa,Maven POM,0,0
pom.xml,Davidc2525/HHCloudBackend,pom.xml,/Davidc2525/HHCloudBackend/blob/9a25c6f0aac0a0085728eccfdaa4408af4927691/pom.xml,9a25c6f0aac0a0085728eccfdaa4408af4927691,Maven POM,1,0
pom.xml,Jbertrius/xml-reader,pom.xml,/Jbertrius/xml-reader/blob/967bc668b83e5bf003f171b603a5fe6663973ed6/pom.xml,967bc668b83e5bf003f171b603a5fe6663973ed6,Maven POM,1,0
tink.pom.xml,thomasbrunetti3/B2,maven/tink.pom.xml,/thomasbrunetti3/B2/blob/41cf62abd48ec15df53db725be65f1dc6db04b58/maven/tink.pom.xml,41cf62abd48ec15df53db725be65f1dc6db04b58,XML,1,0
pom.xml,amitkurud/BackendCommon,pom.xml,/amitkurud/BackendCommon/blob/cb13e529a4f425ee879554c30dfe2e5985b39b8b/pom.xml,cb13e529a4f425ee879554c30dfe2e5985b39b8b,Maven POM,0,0
tink.pom.xml,sara0871/http-sara0871-google-tink,maven/tink.pom.xml,/sara0871/http-sara0871-google-tink/blob/c62749112c4f70705e25e9403db62cd5ebd23a8b/maven/tink.pom.xml,c62749112c4f70705e25e9403db62cd5ebd23a8b,XML,1,0
